"id_paper","author","main_author"
112,"Rüdiger Wirth",TRUE
113,"Holger M. Wittmann",TRUE
114,"Mechthild Rickheit",TRUE
115,"Jan Wilms",TRUE
116,"Michael Ley",TRUE
117,"Bernd Abb",TRUE
117,"Kai Lebeth",FALSE
118,"Gert Smolka",TRUE
119,"Jörg Heinrich",TRUE
120,"Andreas Eisele 0001",TRUE
120,"Jochen Dörre",FALSE
121,"Rainer Bäuerle",TRUE
122,"Sven Lorenz",TRUE
123,"Egon Börger",TRUE
124,"Thomas Ludwig 0001",TRUE
125,"Michael Klein",TRUE
126,"Chin-Liang Chang",TRUE
126,"E. F. Codd",FALSE
126,"Jean-Marc Cadiou",FALSE
126,"Nick Roussopoulos",FALSE
126,"Robert S. Arnold",FALSE
127,"Tibor Kiss",TRUE
128,"Peter H. Schmitt",TRUE
128,"Wolfgang Wernecke",FALSE
129,"Roland Seiffert",TRUE
130,"Albert Maier",TRUE
131,"Jochen Dörre",TRUE
131,"Roland Seiffert",FALSE
132,"Claus-Rainer Rollinger",TRUE
132,"Toni Bollinger",FALSE
132,"Ulrich Hedtstück",FALSE
133,"Petra Maier",TRUE
133,"Petra Steffens",FALSE
134,"Helmar Gust",TRUE
134,"Manfred Grothaus",FALSE
135,"Esther König",TRUE
136,"Karin Klabunde",TRUE
137,"Karl Dotzek",TRUE
138,"H. Raymond Strong",TRUE
138,"Sai Choi Kwan",FALSE
139,"Stefan J. Schierholz",TRUE
140,"Roland Seiffert",TRUE
141,"Kai-Uwe Carstensen",TRUE
142,"Nikolaus Ott",TRUE
144,"Birgit Wesche",TRUE
144,"Brigitte Bartsch-Spörl",FALSE
144,"Christian Rohrer",FALSE
144,"Christopher Habel",FALSE
144,"Claus-Rainer Rollinger",FALSE
144,"F. Günthner",FALSE
144,"Otthein Herzog",FALSE
144,"Peter H. Schmitt",FALSE
144,"Petra Steffens",FALSE
144,"Rudi Studer",FALSE
144,"Siegfried Kanngießer",FALSE
145,"Peter H. Schmitt",TRUE
146,"Stefan J. Schierholz",TRUE
147,"Elisabeth Breidt",TRUE
148,"Oliver Wauschkuhn",TRUE
149,"Angi Voß",TRUE
149,"Christoph Beierle",FALSE
150,"Christoph Beierle",TRUE
151,"Christoph Beierle",TRUE
151,"Claus-Rainer Rollinger",FALSE
151,"Jochen Dörre",FALSE
151,"Peter H. Schmitt",FALSE
151,"Rudi Studer",FALSE
151,"Udo Pletat",FALSE
152,"Kurt Eberle",TRUE
153,"Ingo Raasch",TRUE
153,"Jochen Dörre",FALSE
154,"Claudia Maienborn",TRUE
155,"Bernd I. Dahn",TRUE
155,"Theodor Lettmann",FALSE
155,"Wolfgang Schönfeld",FALSE
156,"Bruce G. Lindsay 0001",TRUE
156,"Cesare A. Galtieri",FALSE
156,"Irving L. Traiger",FALSE
156,"Jim Gray 0001",FALSE
157,"Kai von Luck",TRUE
157,"Udo Pletat",FALSE
158,"Egon Börger",TRUE
159,"Astrid Schmücker-Schend",TRUE
159,"Christoph Lingenfelder",FALSE
160,"Simone Pribbenow",TRUE
161,"Joachim Maier",TRUE
162,"Klaus Rehkämper",TRUE
163,"Hinrich Schütze",TRUE
164,"Christoph Beierle",TRUE
164,"Jörg H. Siekmann",FALSE
164,"Peter H. Schmitt",FALSE
164,"Udo Pletat",FALSE
164,"Ulrich Hedtstück",FALSE
165,"Petra Ludewig",TRUE
166,"Sven Lorenz",TRUE
167,"Christoph Beierle",TRUE
167,"Stefan Böttcher",FALSE
168,"Herbert J. Leass",TRUE
169,"Ingrid Renz",TRUE
170,"Thomas Ludwig 0001",TRUE
171,"Rudi Studer",TRUE
172,"Jan Wilms",TRUE
173,"Angi Voß",TRUE
173,"Christoph Beierle",FALSE
173,"Walter G. Olthoff",FALSE
174,"Christoph Beierle",TRUE
174,"Udo Pletat",FALSE
175,"Bernhard Beckert",TRUE
175,"Reiner Hähnle",FALSE
175,"Stefan Gerberding",FALSE
175,"Werner Kernig",FALSE
176,"Thomas Pirlein",TRUE
177,"Gert Smolka",TRUE
178,"Christoph Beierle",TRUE
178,"Gregor Meyer",FALSE
178,"Stefan Böttcher",FALSE
179,"Thomas Ludwig 0001",TRUE
180,"Erich Gehlen",TRUE
181,"Andreas Arning",TRUE
182,"Thomas Ludwig 0001",TRUE
183,"Simone Pribbenow",TRUE
184,"Christoph Beierle",TRUE
184,"Jörg H. Siekmann",FALSE
184,"Udo Pletat",FALSE
184,"Ulrich Hedtstück",FALSE
185,"Raymond A. Lorie",TRUE
186,"Bernhard Nebel",TRUE
186,"Gert Smolka",FALSE
187,"Petra Schulz",TRUE
188,"Sebastian Millies",TRUE
189,"Kurt Eberle",TRUE
190,"Ewald Lang",TRUE
190,"Kai-Uwe Carstensen",FALSE
